#frame   energy
33934   -223.24
41982   -221.622
41574   -226.14
44878   -205.312
47618   -217.855
33384   -221.438
49615   -221.019
33353   -223.461
31804   -231.322
33352   -218.212
15465   -227.415
24215   -217.565
44298   -231.045
22328   -222.464
45208   -223.707
41901   -211.919
49710   -230.343
47613   -218.011
41748   -212.948
41762   -222.8
11697   -240.275
44771   -211.411
43268   -176.934
40622   -230.6
45016   -207.485
44890   -210.237
41938   -213.472
29621   -234.623
13406   -217.595
13699   -225.12
41397   -227.264
41983   -221.294
49953   -226.715
21989   -231.505
23887   -231.001
15441   -237.168
41293   -205.661
46229   -222.501
33391   -225.373
45088   -211.003
47483   -223.09
41284   -229.541
2880    -230.7
25806   -227.549
43378   -190.412
11814   -237.106
20650   -221.814
9328    -230.586
41952   -214.702
11744   -235.579
15415   -246.249
44747   -213.269
49002   -184.791
12284   -236.906
41817   -223.971
33935   -225.277
41763   -208.353
43177   -181.219
45332   -203.688
25444   -226.052
47896   -227.464
48014   -217.065
33377   -227.89
11720   -232.17
13402   -216.699
30174   -214.514
13018   -224.813
41883   -214.976
43509   -193.505
28406   -203.796
40954   -218.539
23836   -236.422
15589   -233.596
30256   -232.699
9310    -218.119
30091   -229.334
21742   -229.73
41902   -212.583
42481   -204.817
8904    -228.125
24214   -215.823
41427   -227.355
33161   -229.293
49066   -216.509
49054   -237.002
12405   -223.28
24272   -224.631
9475    -228.932
33530   -217.934
47974   -236.263
49384   -217.467
24211   -214.271
49069   -221.605
26211   -226.005
47102   -252.621
28395   -217.99
24340   -218.901
42375   -227.405
13344   -234.79
5491    -227.816
43346   -176.864
45005   -210.293
8289    -233.945
48946   -214.323
13450   -240.207
41925   -213.143
49453   -226.976
44997   -213.988
12364   -237.521
32990   -218.742
41663   -225.167
45327   -219.724
9351    -229.235
13697   -237.346
48044   -230.646
10646   -227.844
32781   -217.845
21987   -227.011
43230   -176.355
24678   -227.978
47629   -227.608
47985   -228.919
22004   -227.686
5355    -227.529
39684   -236.6
49574   -239.448
43460   -217.21
43180   -186.007
49050   -223.579
11830   -226.074
41816   -209.016
41984   -217.097
49941   -228.237
8619    -231.986
8017    -233.715
16376   -227.35
8621    -230.35
48048   -217.044
13610   -230.506
13698   -230.062
2906    -235.212
11548   -229.953
47627   -217.478
33573   -218.795
20430   -234.021
36150   -201.657
29061   -210.372
24934   -228.33
40955   -217.802
49938   -220.029
49385   -209.372
24371   -221.287
36978   -185.483
20337   -209.002
12995   -232.228
44783   -213.399
42471   -215.637
41398   -217.099
41799   -216.004
43031   -177.987
8488    -236.669
40877   -190.938
5494    -219.486
12123   -227.711
33154   -228.544
14843   -229.096
49564   -249.136
15591   -220.788
41931   -232.083
19867   -223.908
30255   -219.459
11699   -233.023
25115   -236.232
43563   -174.806
16518   -227.141
28020   -221.314
20666   -226.662
6851    -210.424
24585   -226.383
41971   -218.758
43929   -212.096
43229   -183.894
47142   -225.317
46324   -209.037
41761   -235.155
49948   -219.417
13407   -236.241
7573    -227.877
11467   -241.151
30940   -218.509
24212   -212.576
44748   -218.758
41764   -214.024
49395   -228.816
47626   -225.445
22101   -235.841
26465   -231.934
30087   -221.218
42994   -181.054
43379   -175.467
42428   -214.504
28407   -214.246
33604   -231.002
49604   -230.454
20677   -242.951
10905   -222.001
5975    -240.913
28017   -237.887
7608    -217.965
26208   -221.075
41954   -208.103
6140    -224.56
8663    -215.983
29541   -210.448
25431   -216.146
9160    -220.594
25509   -222.035
44028   -210.836
16864   -222.745
12214   -226.098
24010   -222.084
44779   -213.54
49183   -214.047
47628   -221.246
9178    -225.595
7592    -214.43
48198   -188.097
8422    -235.458
10695   -223.223
14706   -232.41
14704   -226.697
21748   -234.886
41172   -246.674
14486   -204.702
33912   -210.842
27483   -234.644
12709   -233.868
49942   -219.424
33383   -208.929
22308   -226.239
12780   -219.766
47557   -221.258
41895   -214.757
22016   -232.049
43232   -187.582
31786   -213.323
48998   -194.165
20355   -228.212
30007   -218.393
40769   -223.787
11549   -234.025
25918   -228.016
40289   -241.143
49917   -231.591
15439   -240.131
15960   -232.462
48042   -218.439
27126   -229.71
15067   -191.786
22938   -226.261
41979   -215.554
23365   -210.143
49397   -225.747
33151   -239.379
15400   -201.232
44943   -175.722
12254   -240.207
5489    -221.382
30263   -222.466
15463   -227.494
7590    -223.579
13384   -231.947
26482   -221.816
30075   -222.941
49518   -233.988
49506   -234.548
11096   -229.816
44043   -222.942
28069   -226.824
21953   -230.535
14057   -212.383
41766   -216.304
24228   -216.757
48760   -222.193
49562   -244.35
13369   -238.848
23953   -223.309
44594   -208.97
14714   -227.879
48502   -225.83
7570    -231.635
43228   -185.033
49915   -229.387
45431   -205.058
11097   -229.416
48047   -219.906
43345   -183.33
41635   -222.298
47971   -230.34
19721   -238.062
13388   -229.689
43909   -215.374
15852   -199.006
13392   -211.738
17927   -236.364
49916   -228.462
25114   -223.112
33492   -230.475
40263   -212.404
45086   -215.222
48821   -192.56
13400   -218.478
41874   -211.927
37302   -211.956
8803    -224.227
17140   -241.86
43201   -188.241
5351    -211.164
43342   -175.754
13703   -234.364
43467   -172.729
31805   -218.326
14051   -230.645
41897   -213.653
27165   -209.282
13119   -227.137
22008   -220.302
27280   -232.553
24559   -231.942
22005   -227.355
8516    -222.025
15435   -227.482
24557   -226.41
7806    -222.593
14621   -222.353
32850   -201.079
24369   -223.847
30543   -206.42
14379   -236.905
43125   -182.187
44988   -223.665
21271   -210.85
43600   -218.038
15965   -237.44
37613   -198.461
44751   -219.377
41155   -226.146
8869    -212.495
12175   -219.911
11341   -235.642
38890   -227.323
45508   -215.121
49644   -221.061
35354   -223.952
43468   -179.534
8536    -221.634
23338   -217.943
13346   -224.393
9183    -221.12
21984   -235.667
28109   -213.326
36461   -212.048
49043   -214.647
45346   -214.954
43190   -183.766
13103   -227.03
37432   -246.031
8290    -238.902
44746   -211.639
10356   -220.721
32416   -207.53
25927   -238.79
43186   -175.353
48823   -195.617
5490    -231.774
25728   -228.81
16217   -225.28
7976    -228.986
13621   -197.009
19569   -227.931
25699   -209.142
5959    -212.478
17147   -228.935
36502   -214.739
37579   -220.384
16120   -230.425
22539   -238.178
25852   -211.451
9148    -224.199
33510   -227.408
46929   -222.274
12565   -234.608
25230   -217.087
43195   -187.896
41768   -214.451
11742   -243.144
9747    -225.336
23691   -226.569
31997   -224.659
30254   -230.991
10310   -219.723
47968   -223.843
15283   -242.131
19955   -223.735
48839   -182.619
43188   -187.016
49483   -244.332
15897   -231.217
25826   -222.474
47756   -196.521
23944   -232.476
25231   -220.884
17292   -211.44
7800    -211.582
44506   -233.435
32754   -227.938
28116   -225.151
17171   -209.25
45497   -208.416
41314   -225.487
10651   -224.654
46237   -241.545
49440   -219.583
43231   -182.683
13136   -233.139
30008   -213.565
43187   -179.996
26463   -228.222
42262   -181.48
47145   -219.132
41062   -228.506
23632   -224.238
41920   -183.708
37299   -253.857
24608   -225.654
43080   -215.75
7231    -221.93
43065   -225.632
36893   -186.883
30144   -202.155
22326   -227.375
23339   -215.68
37258   -218.553
45245   -217.484
49439   -218.512
31947   -224.827
27516   -232.983
46247   -248.76
20447   -221.022
43457   -216.849
24607   -230.094
13409   -233.265
48018   -223.11
5986    -222.377
8531    -213.199
24600   -236.455
42003   -184.591
26492   -190.634
33930   -227.111
44891   -200.969
15705   -231.249
45934   -203.79
9353    -222.75
11914   -232.318
28009   -222.694
15706   -233.198
12366   -218.237
21738   -234.106
43343   -175.155
26415   -206.604
48470   -186.025
14472   -229.629
28232   -220.758
11536   -235.57
13396   -226.502
14312   -217.32
25926   -209.25
27616   -214.937
10650   -231.253
42427   -223.288
20515   -222.525
25280   -227.422
30203   -207.753
25184   -215.18
17314   -204.881
29060   -222.377
45022   -216.394
41116   -208.399
48604   -182.291
